Port,SupplyDemand,Num Samples
La Paloma-38165a549d3a,Demand,66
La Paloma-38165a549d3a,Supply,297
La Pampilla-c82280ceb8a0,Demand,22
La Pampilla-c82280ceb8a0,Supply,18
La Place-3db5c3c7bf08,Demand,46
La Plata-c06d7cba9b45,Demand,1028
La Salina-cac490186639,Supply,15
La Skhirra-ec363a356152,Supply,111
Labuan-7c41e61707fc,Demand,42
Labuan-7c41e61707fc,Supply,143
Lagos-47014fd09104,Supply,13
Laizhou-08bba6032811,Demand,24
Laizhou-08bba6032811,Supply,399
Lake Charles-8a861dedd10d,Demand,816
Lanshan-0b14723fa397,Demand,27
Lanshan-0b14723fa397,Supply,276
Larak Is.-56c401139f36,Demand,12
Larak Is.-56c401139f36,Supply,16
Las Minas-5762ea6ccd2d,Demand,73
Las Palmas-5d1a8657373a,Demand,124
Las Palmas-5d1a8657373a,Supply,1354
Lasawei-611eb914887d,Demand,10
Laurium-0c1bd8a6c6dd,Demand,77
Laurium-0c1bd8a6c6dd,Supply,355
Lavan-192e73959889,Demand,91
Lavan-192e73959889,Supply,269
Lazaro Cardenas-43bf0fb63d65,Supply,107
Le Havre-4c8da7f30f05,Demand,116
Le Havre-4c8da7f30f05,Supply,53
Leixoes-3deb77dbc15f,Demand,23
Lerwick-4daad61c0abb,Supply,26
Les Escoumins Harbor-3f35dc3969cd,Demand,343
Les Escoumins Harbor-3f35dc3969cd,Supply,102
Levis-10811e84a7d1,Demand,89
Levis-10811e84a7d1,Supply,83
Limassol-2e76e2e5ad30,Demand,46
Limassol-2e76e2e5ad30,Supply,12
Limboh Terminal-69a91073e2a8,Demand,50
Lirquen-19715cc8d779,Demand,408
Lirquen-19715cc8d779,Supply,29
Lisboa-0860dd02e960,Supply,293
Little Burin Harbor-bff5378de381,Supply,20
Littlehampton-0ffdc4e1fdd5,Demand,365
Liuheng-c7395faa59ca,Demand,87
Liuheng-c7395faa59ca,Supply,10
Liverpool-74c10d29bf7f,Demand,24
Livorno-706a305f41ba,Demand,539
Livorno-706a305f41ba,Supply,44
Llanddulas-aac8bb8548dc,Supply,10
Lombo East Terminal-f25cc6a7ab2b,Supply,9
Lome-ac60ca402042,Demand,118
Lome-ac60ca402042,Supply,162
Long Beach-4c3082f54073,Demand,10
Long Beach-4c3082f54073,Supply,12
Long Harbour-f1a2f89d1d91,Demand,27
Long Harbour-f1a2f89d1d91,Supply,12
Long Pond-b2e644d428b5,Supply,15
Longkou-83dd447f48b9,Demand,948
Longkou-83dd447f48b9,Supply,1103
Los Angeles-b69ef5ad9a4c,Demand,80
Los Angeles-b69ef5ad9a4c,Supply,61
Lowestoft-fa26f9b6e8fb,Demand,107
Lowestoft-fa26f9b6e8fb,Supply,11
Luanda-ca9aa21f6979,Demand,24
Luanda-ca9aa21f6979,Supply,51
